"","name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","kingdom","phylum","class","order"
"EC:1.14.12.11","EC:1.14.12.11",1,0,1,0,5.5241706186395e-08,"M121",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.","o__EC:1.14.12.11"
"EC:1.14.12.3","EC:1.14.12.3",1,0,1,0,5.5241706186395e-08,"M121",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.","o__EC:1.14.12.3"
"EC:1.14.13.185","EC:1.14.13.185",2,0,0.5,0,5.32188209126576e-06,"M60",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.185"
"EC:2.7.1.64","EC:2.7.1.64",1,0,1,0,1.24971764021663e-07,"M120",NA,NA,NA,"k__Transferases.","p__Transferring phosphorus-containing groups.","c__Phosphotransferases with an alcohol group as acceptor.","o__EC:2.7.1.64"
"EC:2.7.3.2","EC:2.7.3.2",1,0,1,0,1.24971764021663e-07,"M120",NA,NA,NA,"k__Transferases.","p__Transferring phosphorus-containing groups.","c__Phosphotransferases with a nitrogenous group as acceptor.","o__EC:2.7.3.2"
"EC:5.5.1.23","EC:5.5.1.23",1,0,1,0,1.46536532092771e-07,"M119",NA,NA,NA,"k__Isomerases.","p__Intramolecular lyases.","c__Intramolecular lyases.","o__EC:5.5.1.23"
"EC:5.5.1.26","EC:5.5.1.26",1,0,1,0,1.46536532092771e-07,"M119",NA,NA,NA,"k__Isomerases.","p__Intramolecular lyases.","c__Intramolecular lyases.","o__EC:5.5.1.26"
"EC:6.3.1.17","EC:6.3.1.17",2,0,0.5,0,5.32188209126576e-06,"M60",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--ammonia (or amine) ligases (amide synthases).","o__EC:6.3.1.17"
"EC:6.3.2.41","EC:6.3.2.41",2,0,0.5,0,5.32188209126576e-06,"M60",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Acid--amino-acid ligases (peptide synthases).","o__EC:6.3.2.41"
"EC:6.3.5.10","EC:6.3.5.10",20,0,0.0502003214043551,0,0.00733312684667075,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.10"
"EC:6.3.5.11","EC:6.3.5.11",20,0,0.0501985048498675,0,0.00935200655101826,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.11"
"EC:6.3.5.2","EC:6.3.5.2",20,0,0.050152051300319,0,0.0152348426966275,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.2"
"EC:6.3.5.3","EC:6.3.5.3",20,0,0.0501651085659777,0,0.0329972504082428,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.3"
"EC:6.3.5.4","EC:6.3.5.4",20,0,0.0501620543386324,0,0.0157994457030204,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.4"
"EC:6.3.5.5","EC:6.3.5.5",20,0,0.0501862472503029,0,0.027450664906696,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.5"
"EC:6.3.5.6","EC:6.3.5.6",20,0,0.0501407353316067,3.25482278745459e-17,0.0494146210789109,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.6"
"EC:6.3.5.7","EC:6.3.5.7",20,0,0.0501404187811735,0,0.0494229773536594,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.7"
"EC:6.3.5.9","EC:6.3.5.9",20,0,0.0501985048498675,0,0.00935200655101826,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-nitrogen bonds.","c__Carbon--nitrogen ligases with glutamine as amido-N-donor.","o__EC:6.3.5.9"
"EC:6.4.1.1","EC:6.4.1.1",20,0,0.0501668018326292,0,0.00325136542187114,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-carbon bonds.","c__Forming carbon-carbon bonds.","o__EC:6.4.1.1"
"EC:6.4.1.2","EC:6.4.1.2",20,0,0.0501722981675325,0,0.0379163084502243,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-carbon bonds.","c__Forming carbon-carbon bonds.","o__EC:6.4.1.2"
"EC:6.4.1.3","EC:6.4.1.3",20,0,0.0501334767290077,0,0.0221275831685768,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-carbon bonds.","c__Forming carbon-carbon bonds.","o__EC:6.4.1.3"
"EC:6.4.1.4","EC:6.4.1.4",20,0,0.0501380077833675,0,0.00765417089287793,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-carbon bonds.","c__Forming carbon-carbon bonds.","o__EC:6.4.1.4"
"EC:6.4.1.5","EC:6.4.1.5",20,0,0.0501645787485737,0,0.000940647359486557,"M8",NA,NA,NA,"k__Ligases.","p__Forming carbon-carbon bonds.","c__Forming carbon-carbon bonds.","o__EC:6.4.1.5"
"EC:6.5.1.1","EC:6.5.1.1",20,0,0.0501299203178159,0,0.0209222491963795,"M8",NA,NA,NA,"k__Ligases.","p__Forming phosphoric ester bonds.","c__Forming phosphoric ester bonds.","o__EC:6.5.1.1"
"EC:6.5.1.2","EC:6.5.1.2",20,0,0.0501770562419558,0,0.0136200682878632,"M8",NA,NA,NA,"k__Ligases.","p__Forming phosphoric ester bonds.","c__Forming phosphoric ester bonds.","o__EC:6.5.1.2"
"EC:6.5.1.3","EC:6.5.1.3",20,0,0.0501846893677296,0,0.00659898940693127,"M8",NA,NA,NA,"k__Ligases.","p__Forming phosphoric ester bonds.","c__Forming phosphoric ester bonds.","o__EC:6.5.1.3"
"EC:6.5.1.4","EC:6.5.1.4",20,0,0.0507688036262917,0,8.94467447394291e-05,"M8",NA,NA,NA,"k__Ligases.","p__Forming phosphoric ester bonds.","c__Forming phosphoric ester bonds.","o__EC:6.5.1.4"
"EC:6.5.1.6","EC:6.5.1.6",20,0,0.0501321442353569,3.25482278745459e-17,0.00491803679665352,"M8",NA,NA,NA,"k__Ligases.","p__Forming phosphoric ester bonds.","c__Forming phosphoric ester bonds.","o__EC:6.5.1.6"
"EC:6.5.1.7","EC:6.5.1.7",20,0,0.0501321442353569,0,0.00491803679665352,"M8",NA,NA,NA,"k__Ligases.","p__Forming phosphoric ester bonds.","c__Forming phosphoric ester bonds.","o__EC:6.5.1.7"
"EC:6.6.1.1","EC:6.6.1.1",20,0,0.0501501920497962,0,0.00770863432907309,"M8",NA,NA,NA,"k__Ligases.","p__Forming nitrogen-metal bonds.","c__Forming coordination complexes.","o__EC:6.6.1.1"
"EC:1.1.1.170","EC:1.1.1.170",3,0,0.333980366559381,0,1.51385828931937e-05,"M38",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.170"
"EC:1.1.1.368","EC:1.1.1.368",2,0,0.5,0,3.20354991439956e-05,"M59",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-OH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.1.1.368"
"EC:1.14.11.21","EC:1.14.11.21",1,0,1,0,1.66135773237349e-05,"M118",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors.","o__EC:1.14.11.21"
"EC:1.14.12.15","EC:1.14.12.15",3,0,0.348735933033577,0,6.07417108240063e-05,"M42",0.866025403784439,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.","o__EC:1.14.12.15"
"EC:1.14.12.7","EC:1.14.12.7",1,0,1.0002645614344,2.03426424215912e-18,1.91358244826052e-05,"M95",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.","o__EC:1.14.12.7"
"EC:1.14.13.100","EC:1.14.13.100",3,0,0.333980366559381,0,1.51385828931937e-05,"M38",NA,NA,NA,"k__Oxidoreductases.","p__Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2.","c__With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","o__EC:1.14.13.100"
"EC:1.21.4.2","EC:1.21.4.2",1,0,1.11022884744704,0,0.000242758636423891,"M92",NA,NA,NA,"k__Oxidoreductases.","p__Catalyzing the reaction X-H + Y-H = 'X-Y'.","c__With a disulfide as acceptor.","o__EC:1.21.4.2"
"EC:1.21.4.4","EC:1.21.4.4",1,0,1.11022884744704,0,3.54618198436653e-05,"M92",NA,NA,NA,"k__Oxidoreductases.","p__Catalyzing the reaction X-H + Y-H = 'X-Y'.","c__With a disulfide as acceptor.","o__EC:1.21.4.4"
"EC:1.3.1.2","EC:1.3.1.2",1,0,1,0,9.57658410957962e-07,"M116",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.3.1.2"
"EC:1.3.1.53","EC:1.3.1.53",3,1,0.348780072175108,4.06852848431824e-18,3.15430424872342e-05,"M42",0.866025403784439,0,"Peripheral nodes","k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.3.1.53"
"EC:1.3.1.64","EC:1.3.1.64",1,0,1.0002645614344,0,2.83609504867508e-05,"M95",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.3.1.64"
"EC:1.3.1.72","EC:1.3.1.72",3,0,0.333980366559381,0,1.51385828931937e-05,"M38",NA,NA,NA,"k__Oxidoreductases.","p__Acting on the CH-CH group of donors.","c__With NAD(+) or NADP(+) as acceptor.","o__EC:1.3.1.72"
