sample	qPCR
NRCS390	4.19E+08
NRCS391	1.05E+09
NRCS392	4.74E+08
NRCS393	5.37E+08
NRCS394	6.11E+08
NRCS395	1.03E+09
NRCS396	5.66E+08
NRCS397	5.68E+08
NRCS398	6.25E+08
NRCS399	9.34E+08
NRCS4	4.20E+09
NRCS40	5.12E+09
NRCS400	8.20E+08
NRCS401	1.37E+09
NRCS402	1.00E+09
NRCS403	3.84E+08
NRCS404	2.29E+09
NRCS405	1.01E+09
NRCS406	7.63E+08
NRCS407	1.56E+09
NRCS408	1.87E+09
NRCS409	6.01E+08
NRCS41	6.00E+09
NRCS410	5.12E+08
NRCS411	7.97E+08
NRCS412	9.54E+08
NRCS413	1.34E+09
NRCS414	6.32E+08
NRCS415	1.16E+09
NRCS416	6.20E+08
NRCS417	1.14E+09
NRCS418	4.58E+08
NRCS419	5.81E+08
NRCS42	3.07E+09
NRCS420	2.18E+09
NRCS421	3.95E+08
NRCS422	2.00E+09
NRCS423	4.52E+09
NRCS424	7.80E+09
NRCS425	5.57E+09
NRCS43	4.97E+09
NRCS430	2.00E+09
NRCS431	8.57E+08
NRCS432	2.34E+09
NRCS433	1.76E+09
NRCS434	1.82E+09
NRCS435	8.90E+08
NRCS436	8.23E+08
NRCS437	6.99E+08
NRCS438	1.71E+09
NRCS439	8.69E+08
NRCS44	4.35E+09
NRCS440	6.44E+08
NRCS441	5.17E+08
NRCS442	6.74E+08
NRCS443	1.22E+09
NRCS444	1.61E+09
NRCS445	1.59E+09
NRCS446	1.06E+09
NRCS447	1.04E+09
NRCS448	1.30E+09
NRCS449	5.71E+08
NRCS45	3.89E+09
NRCS450	4.44E+08
NRCS451	7.11E+08
NRCS452	9.47E+08
NRCS453	5.96E+08
NRCS454	7.56E+08
NRCS455	1.28E+09
NRCS456	7.87E+08
NRCS457	7.89E+08
NRCS458	1.13E+09
NRCS459	2.68E+09
NRCS46	7.94E+09
NRCS460	9.20E+08
NRCS461	6.44E+08
NRCS462	1.33E+09
NRCS463	6.44E+08
NRCS464	6.87E+08
NRCS465	1.05E+09
NRCS466	8.71E+08
NRCS467	1.21E+09
NRCS468	1.99E+09
NRCS469	2.20E+09
NRCS47	2.90E+09
NRCS470	2.75E+09
NRCS471	8.77E+08
NRCS472	1.26E+09
NRCS473	1.57E+09
NRCS474	8.55E+08
NRCS475	1.66E+09
NRCS476	1.03E+09
NRCS477	8.94E+08
NRCS48	2.13E+09
NRCS49	3.17E+09
NRCS5	4.26E+09
NRCS50	4.47E+09
NRCS51	2.44E+09
NRCS52	4.20E+09
NRCS53	3.78E+09
NRCS54	6.92E+09
NRCS55	2.37E+09
NRCS56	3.75E+09
NRCS57	2.99E+09
NRCS58	2.35E+09
NRCS59	4.27E+09
NRCS6	4.40E+09
NRCS60	2.07E+09
NRCS61	2.22E+09
NRCS62	1.77E+09
NRCS63	2.18E+09
NRCS64	1.54E+09
NRCS65	1.65E+08
NRCS66	1.58E+08
NRCS67	8.09E+08
NRCS68	8.89E+08
NRCS69	6.90E+08
NRCS7	5.06E+09
NRCS70	6.43E+08
NRCS71	9.74E+08
NRCS72	7.88E+08
NRCS73	4.55E+08
NRCS74	1.07E+09
NRCS75	4.88E+08
NRCS76	6.95E+08
NRCS77	4.64E+08
NRCS78	6.48E+08
