SampleID	PLFA_ID
ARSIII2.80.1	SHI-0646
ARSIII1.40.1	SHI-0647
ARSIV2.80.1	SHI-0648
ARSI3.160.1	SHI-0649
ARSII1.40.1	SHI-0650
ARSIII4.240.1	SHI-0651
ARSIII3.160.1	SHI-0652
ARSIV4.240.1	SHI-0653
ID1Cas1a_1	SHI-0654
ID1Cas1b_1	SHI-0655
ID1Cas2a_1	SHI-0656
ID1Cas2b_1	SHI-0657
ID1Cent1a_1	SHI-0658
ID1Cent1b_1	SHI-0659
ID1Cent2a1_1	SHI-0660
ID1Cent2b_1	SHI-0661
ID2Cas1a_1	SHI-0662
ID2Cas1b_1	SHI-0663
ID2Cas2a_1	SHI-0664
ID2Cas2b_1	SHI-0665
WA1Cas1a_1	SHI-0666
WA1Cas1b_1	SHI-0667
WA1Cas1c_1	SHI-0668
WA2Cas2a_1	SHI-0669
WA2Cas2b_1	SHI-0670
WA2Cas2c_1	SHI-0671
WA2Cent2a_1	SHI-0672
WA2Cent2b_1	SHI-0673
WA2Cent2c_1	SHI-0674
WA1Cent1a_1	SHI-0675
WA1Cent1b_1	SHI-0676
WA1Cent1c_1	SHI-0677
WA3Cent1a_1	SHI-0678
WA3Cent1b_1	SHI-0679
WA3Cas1a_1	SHI-0680
WA3Cas1b_1	SHI-0681
WA3Cent2a_1	SHI-0682
WA3Cent2b_1	SHI-0683
WA3Cas2a_1	SHI-0684
WA3Cas2b_1	SHI-0685
OR1Cent1a_1	SHI-0686
OR1Cent1b_1	SHI-0687
OR2Cas2a_1	SHI-0688
OR2Cas2b_1	SHI-0689
OR2Cas1a_1	SHI-0690
OR2Cas1b_1	SHI-0691
OR2Cent1a_1	SHI-0692
OR2Cent1b_1	SHI-0693
OR2Cent2a_1	SHI-0694
OR2Cent2b_1	SHI-0695
OR3Cas2a_1	SHI-0696
OR3Cas2b_1	SHI-0697
OR3Cas1a_1	SHI-0698
OR3Cas1b_1	SHI-0699
CalEX	
CalHG	
30Oct2018_CalHG	
30Oct2018_PCRwater	
30Oct2018_Zymo	
ID1Cas1a_1	
ID1Cas1a_2	
ID1Cas1a_3	
ID1Cas1b_1	
ID1Cas1b_2	
ID1Cas1b_3	
ID1Cas2a_1	
ID1Cas2a_2	
ID1Cas2a_3	
ID1Cas2b_1	
ID1Cas2b_2	
ID1Cas2b_3	
ID1Cent1a_1	
ID1Cent1a_2	
ID1Cent1a_3	
ID1Cent1b_1	
ID1Cent1b_2	
ID1Cent1b_3	
ID1Cent2a1_1	
ID1Cent2a1_2	
ID1Cent2a1_3	
ID1Cent2a2_1	
ID1Cent2a2_2	
ID1Cent2a2_3	
ID1Cent2b_1	
ID1Cent2b_2	
ID1Cent2b_3	
ID2Cas1a_1	
ID2Cas1a_2	
ID2Cas1a_3	
ID2Cas1b_1	
ID2Cas1b_2	
ID2Cas1b_3	
ID2Cas2a_1	
ID2Cas2a_2	
ID2Cas2a_3	
ID2Cas2b_1	
ID2Cas2b_2	
ID2Cas2b_3	
OR1Cent1a_1	
OR1Cent1a_2	
OR1Cent1a_3	
OR1Cent1b_1	
OR1Cent1b_2	
OR1Cent1b_3	
OR2Cas1a_1	
OR2Cas1a_2	
OR2Cas1a_3	
